"name","workcenter_id","time_cycle_manual","bom_id"
"Rahmen schweissen","Schweissen",45,"[M1001] Rahmen unbeschichtet"
"Rahmen reinigen","Schweissen",5,"[M1001] Rahmen unbeschichtet"
"Masse prüfen","Qualitätsprüfung",10,"[M1001] Rahmen unbeschichtet"
"Rohr zuschneiden","Sägen",15,"[M1002] Oberrohr"
"Rohr schleifen","Schleifen",10,"[M1002] Oberrohr"
"Rohr grundieren","Oberflächenbehandlung",5,"[M1002] Oberrohr"
"Rohr zuschneiden","Sägen",15,"[M1003] Steuerrohr"
"Rohr schleifen","Schleifen",10,"[M1003] Steuerrohr"
"Rohr grundieren","Oberflächenbehandlung",5,"[M1003] Steuerrohr"
"Rohr zuschneiden","Sägen",15,"[M1004] Unterrohr"
"Rohr schleifen","Schleifen",10,"[M1004] Unterrohr"
"Rohr grundieren","Oberflächenbehandlung",5,"[M1004] Unterrohr"
"Rohr zuschneiden","Sägen",15,"[M1005] Sitzrohr"
"Rohr schleifen","Schleifen",10,"[M1005] Sitzrohr"
"Rohr grundieren","Oberflächenbehandlung",5,"[M1005] Sitzrohr"
"Rohr zuschneiden","Sägen",15,"[M1006] Sitzstrebe"
"Rohr schleifen","Schleifen",10,"[M1006] Sitzstrebe"
"Rohr grundieren","Oberflächenbehandlung",5,"[M1006] Sitzstrebe"
"Rohr zuschneiden","Sägen",15,"[M1007] Kettenstrebe"
"Rohr schleifen","Schleifen",10,"[M1007] Kettenstrebe"
"Rohr grundieren","Oberflächenbehandlung",5,"[M1007] Kettenstrebe"
